date ,round,num,plant,label,tube_wt_1,plant_wt_1,plant_wt_cb,absorb,notes
6/2/2025,1,88,cent,c5-4,1.8503,0.1078,0.028,,
6/2/2025,1,89,dican,di5-1,1.8514,0.1066,0.021,,
6/2/2025,1,90,dican,di5-2,1.8471,0.1076,0.0252,,
6/2/2025,1,91,dican,di5-3,1.8528,0.1000,0.0236,,
6/2/2025,1,92,dican,di5-4,1.8202,0.1062,0.0244,,
6/2/2025,1,93,silky,s5-1,1.8893,0.1010,0.0228,,
6/2/2025,1,94,silky,s5-2,1.8491,0.1116,0.0267,,
6/2/2025,1,95,silky,s5-3,1.8424,0.0879,0.0226,,
6/2/2025,1,96,silky,s5-4,1.8866,0.0863,0.0229,,
6/2/2025,1,97,dog,do5-1,1.8130,0.1400,0.0282,,
6/2/2025,1,98,dog,do5-2,1.8490,0.1033,0.0203,,
6/2/2025,1,99,dog,do5-3,1.8000,0.1205,0.0262,,
6/2/2025,1,100,dog,do5-4,1.8267,0.1506,0.0206,,
6/2/2025,1,101,wide,w6-1,1.8779,0.1008,0.0233,,
6/2/2025,1,102,wide,w6-2,1.8810,0.1182,0.023,,
6/2/2025,1,103,wide,w6-3,1.8338,0.1329,0.0234,,
6/2/2025,1,104,wide,w6-4,1.8543,0.1072,0.0204,,
6/2/2025,1,105,cent,c6-1,1.8875,0.0875,0.0214,,
6/2/2025,1,106,cent,c6-2,1.8468,0.1129,0.0213,,
6/2/2025,1,107,cent,c6-3,1.8939,0.1059,0.0216,,
6/2/2025,1,108,cent,c6-4,1.8195,0.1097,0.0202,,
6/2/2025,1,109,dican,di6-1,1.8050,0.1003,0.023,,
6/2/2025,1,110,dican,di6-2,1.8403,0.1038,0.0229,,
6/2/2025,1,111,dican,di6-3,1.8830,0.1144,0.0233,,
6/2/2025,1,112,dican,di6-4,1.8567,0.1304,0.0212,,
6/2/2025,1,113,silky,s6-1,1.8414,0.1079,0.0227,,
6/2/2025,1,114,silky,s6-2,1.8793,0.1120,0.0215,,
6/2/2025,1,115,silky,s6-3,1.8388,0.1068,0.02,,
6/2/2025,1,116,silky,s6-4,1.8286,0.1331,0.0208,,
6/2/2025,1,117,dog,do6-1,1.8558,0.1157,0.0266,,
6/2/2025,1,118,dog,do6-2,1.8568,0.1057,0.0246,,
6/2/2025,1,119,dog,do6-3,1.8832,0.1037,0.0293,,
6/2/2025,1,120,dog,do6-4,1.8545,0.1198,0.0237,,
7/31/2025,2,1,wide,w1-1,,,,,
7/31/2025,2,2,wide,w1-2,,,,,
7/31/2025,2,3,wide,w1-3,,,,,
7/31/2025,2,4,wide,w1-4,,,,,
7/31/2025,2,5,cent,c1-1,,,,,
7/31/2025,2,6,cent,c1-2,,,,,
7/31/2025,2,7,cent,c1-3,,,,,
7/31/2025,2,8,cent,c1-4,,,,,
7/31/2025,2,9,dican,di1-1,,,,,
7/31/2025,2,10,dican,di1-2,,,,,
7/31/2025,2,11,dican,di1-3,,,,,
7/31/2025,2,12,dican,di1-4,,,,,
7/31/2025,2,13,silky,s1-1,,,,,
7/31/2025,2,14,silky,s1-2,,,,,
7/31/2025,2,15,silky,s1-3,,,,,
7/31/2025,2,16,silky,s1-4,,,,,
7/31/2025,2,17,dog,do1-1,,,,,
7/31/2025,2,18,dog,do1-2,,,,,
7/31/2025,2,19,dog,do1-3,,,,,
7/31/2025,2,20,dog,do1-4,,,,,
7/31/2025,2,21,wide,w2-1,,,,,
7/31/2025,2,22,wide,w2-2,,,,,
7/31/2025,2,23,wide,w2-3,,,,,
7/31/2025,2,24,wide,w2-4,,,,,
7/31/2025,2,25,cent,c2-1,,,,,
7/31/2025,2,26,cent,c2-2,,,,,
7/31/2025,2,27,cent,c2-3,,,,,
7/31/2025,2,28,cent,c2-4,,,,,
7/31/2025,2,29,dican,di2-1,,,,,
7/31/2025,2,30,dican,di2-2,,,,,
7/31/2025,2,31,dican,di2-3,,,,,
7/31/2025,2,32,dican,di2-4,,,,,
7/31/2025,2,33,silky,s2-1,,,,,
7/31/2025,2,34,silky,s2-2,,,,,
7/31/2025,2,35,silky,s2-3,,,,,
7/31/2025,2,36,silky,s2-4,,,,,
7/31/2025,2,37,dog,do2-1,,,,,
7/31/2025,2,38,dog,do2-2,,,,,
7/31/2025,2,39,dog,do2-3,,,,,
7/31/2025,2,40,dog,do2-4,,,,,
8/4/2025,2,41,wide,w3-1,,,,,
8/4/2025,2,42,wide,w3-2,,,,,
8/4/2025,2,43,wide,w3-3,,,,,
8/4/2025,2,44,wide,w3-4,,,,,
8/4/2025,2,45,cent,c3-1,,,,,
8/4/2025,2,46,cent,c3-2,,,,,
8/4/2025,2,47,cent,c3-3,,,,,
8/4/2025,2,48,cent,c3-4,,,,,
8/4/2025,2,49,dican,di3-1,,,,,
8/4/2025,2,50,dican,di3-2,,,,,
8/4/2025,2,51,dican,di3-3,,,,,
8/4/2025,2,52,dican,di3-4,,,,,
8/4/2025,2,53,silky,s3-1,,,,,
8/4/2025,2,54,silky,s3-2,,,,,
8/4/2025,2,55,silky,s3-3,,,,,
8/4/2025,2,56,silky,s3-4,,,,,
8/4/2025,2,57,dog,do3-1,,,,,
8/4/2025,2,58,dog,do3-2,,,,,
8/4/2025,2,59,dog,do3-3,,,,,
8/4/2025,2,60,dog,do3-4,,,,,
8/4/2025,2,61,wide,w4-1,,,,,
8/4/2025,2,62,wide,w4-2,,,,,
8/4/2025,2,63,wide,w4-3,,,,,
8/4/2025,2,64,wide,w4-4,,,,,
8/4/2025,2,65,cent,c4-1,,,,,
8/4/2025,2,66,cent,c4-2,,,,,
8/4/2025,2,67,cent,c4-3,,,,,
8/4/2025,2,68,cent,c4-4,,,,,
8/4/2025,2,69,dican,di4-1,,,,,
8/4/2025,2,70,dican,di4-2,,,,,
8/4/2025,2,71,dican,di4-3,,,,,
8/4/2025,2,72,dican,di4-4,,,,,
8/4/2025,2,73,silky,s4-1,,,,,
8/4/2025,2,74,silky,s4-2,,,,,
8/4/2025,2,75,silky,s4-3,,,,,
8/4/2025,2,76,silky,s4-4,,,,,
8/4/2025,2,77,dog,do4-1,,,,,
8/4/2025,2,78,dog,do4-2,,,,,
8/4/2025,2,79,dog,do4-3,,,,,
8/4/2025,2,80,dog,do4-4,,,,,
8/4/2025,2,81,wide,w5-1,,,,,
8/4/2025,2,82,wide,w5-2,,,,,
8/4/2025,2,83,wide,w5-3,,,,,
8/4/2025,2,84,wide,w5-4,,,,,
8/4/2025,2,85,cent,c5-1,,,,,
8/4/2025,2,86,cent,c5-2,,,,,
8/4/2025,2,87,cent,c5-3,,,,,
8/4/2025,2,88,cent,c5-4,,,,,
8/4/2025,2,89,dican,di5-1,,,,,
8/4/2025,2,90,dican,di5-2,,,,,
8/4/2025,2,91,dican,di5-3,,,,,
8/4/2025,2,92,dican,di5-4,,,,,
8/4/2025,2,93,silky,s5-1,,,,,
8/4/2025,2,94,silky,s5-2,,,,,
8/4/2025,2,95,silky,s5-3,,,,,
8/4/2025,2,96,silky,s5-4,,,,,
8/4/2025,2,97,dog,do5-1,,,,,
8/4/2025,2,98,dog,do5-2,,,,,
8/4/2025,2,99,dog,do5-3,,,,,
8/4/2025,2,100,dog,do5-4,,,,,
8/4/2025,2,101,wide,w6-1,,,,,
8/4/2025,2,102,wide,w6-2,,,,,
8/4/2025,2,103,wide,w6-3,,,,,
8/4/2025,2,104,wide,w6-4,,,,,
8/4/2025,2,105,cent,c6-1,,,,,
8/4/2025,2,106,cent,c6-2,,,,,
8/4/2025,2,107,cent,c6-3,,,,,
8/4/2025,2,108,cent,c6-4,,,,,
8/4/2025,2,109,dican,di6-1,,,,,
8/4/2025,2,110,dican,di6-2,,,,,
8/4/2025,2,111,dican,di6-3,,,,,
8/4/2025,2,112,dican,di6-4,,,,,
8/4/2025,2,113,silky,s6-1,,,,,
8/4/2025,2,114,silky,s6-2,,,,,
8/4/2025,2,115,silky,s6-3,,,,,
8/4/2025,2,116,silky,s6-4,,,,,
8/4/2025,2,117,dog,do6-1,,,,,
8/4/2025,2,118,dog,do6-2,,,,,
8/4/2025,2,119,dog,do6-3,,,,,
8/4/2025,2,120,dog,do6-4,,,,,
9/22/2025,3,1,wide,w1-1,,,,,
9/22/2025,3,2,wide,w1-2,,,,,
9/22/2025,3,3,wide,w1-3,,,,,
9/22/2025,3,4,wide,w1-4,,,,,
9/22/2025,3,5,cent,c1-1,,,,,
9/22/2025,3,6,cent,c1-2,,,,,
9/22/2025,3,7,cent,c1-3,,,,,
9/22/2025,3,8,cent,c1-4,,,,,
9/22/2025,3,9,dican,di1-1,,,,,
9/22/2025,3,10,dican,di1-2,,,,,
9/22/2025,3,11,dican,di1-3,,,,,
9/22/2025,3,12,dican,di1-4,,,,,
9/22/2025,3,13,silky,s1-1,,,,,
9/22/2025,3,14,silky,s1-2,,,,,
9/22/2025,3,15,silky,s1-3,,,,,
9/22/2025,3,16,silky,s1-4,,,,,
9/22/2025,3,17,dog,do1-1,,,,,
9/22/2025,3,18,dog,do1-2,,,,,
9/22/2025,3,19,dog,do1-3,,,,,
9/22/2025,3,20,dog,do1-4,,,,,
9/22/2025,3,21,wide,w2-1,,,,,
9/22/2025,3,22,wide,w2-2,,,,,
9/22/2025,3,23,wide,w2-3,,,,,
9/22/2025,3,24,wide,w2-4,,,,,
9/22/2025,3,25,cent,c2-1,,,,,
9/22/2025,3,26,cent,c2-2,,,,,
9/22/2025,3,27,cent,c2-3,,,,,
9/22/2025,3,28,cent,c2-4,,,,,
9/22/2025,3,29,dican,di2-1,,,,,
9/22/2025,3,30,dican,di2-2,,,,,
9/22/2025,3,31,dican,di2-3,,,,,
9/22/2025,3,32,dican,di2-4,,,,,
9/22/2025,3,33,silky,s2-1,,,,,
9/22/2025,3,34,silky,s2-2,,,,,
9/22/2025,3,35,silky,s2-3,,,,,
9/22/2025,3,36,silky,s2-4,,,,,
9/22/2025,3,37,dog,do2-1,,,,,
9/22/2025,3,38,dog,do2-2,,,,,
9/22/2025,3,39,dog,do2-3,,,,,
9/22/2025,3,40,dog,do2-4,,,,,
9/22/2025,3,41,wide,w3-1,,,,,
9/22/2025,3,42,wide,w3-2,,,,,
9/22/2025,3,43,wide,w3-3,,,,,
9/22/2025,3,44,wide,w3-4,,,,,
9/22/2025,3,45,cent,c3-1,,,,,
9/22/2025,3,46,cent,c3-2,,,,,
9/22/2025,3,47,cent,c3-3,,,,,
9/22/2025,3,48,cent,c3-4,,,,,
9/22/2025,3,49,dican,di3-1,,,,,
9/22/2025,3,50,dican,di3-2,,,,,
9/22/2025,3,51,dican,di3-3,,,,,
9/22/2025,3,52,dican,di3-4,,,,,
9/22/2025,3,53,silky,s3-1,,,,,
9/22/2025,3,54,silky,s3-2,,,,,
9/22/2025,3,55,silky,s3-3,,,,,
9/22/2025,3,56,silky,s3-4,,,,,
9/22/2025,3,57,dog,do3-1,,,,,
9/22/2025,3,58,dog,do3-2,,,,,
9/22/2025,3,59,dog,do3-3,,,,,
9/22/2025,3,60,dog,do3-4,,,,,
9/22/2025,3,61,wide,w4-1,,,,,
9/22/2025,3,62,wide,w4-2,,,,,
9/22/2025,3,63,wide,w4-3,,,,,
9/22/2025,3,64,wide,w4-4,,,,,
9/22/2025,3,65,cent,c4-1,,,,,
9/22/2025,3,66,cent,c4-2,,,,,
9/22/2025,3,67,cent,c4-3,,,,,
9/22/2025,3,68,cent,c4-4,,,,,
9/22/2025,3,69,dican,di4-1,,,,,
9/22/2025,3,70,dican,di4-2,,,,,
9/22/2025,3,71,dican,di4-3,,,,,
9/22/2025,3,72,dican,di4-4,,,,,
9/22/2025,3,73,silky,s4-1,,,,,
9/22/2025,3,74,silky,s4-2,,,,,
9/22/2025,3,75,silky,s4-3,,,,,
9/22/2025,3,76,silky,s4-4,,,,,
9/22/2025,3,77,dog,do4-1,,,,,
9/22/2025,3,78,dog,do4-2,,,,,
9/22/2025,3,79,dog,do4-3,,,,,
9/22/2025,3,80,dog,do4-4,,,,,
9/22/2025,3,81,wide,w5-1,,,,,
9/22/2025,3,82,wide,w5-2,,,,,
9/22/2025,3,83,wide,w5-3,,,,,
9/22/2025,3,84,wide,w5-4,,,,,
9/22/2025,3,85,cent,c5-1,,,,,
9/22/2025,3,86,cent,c5-2,,,,,
9/22/2025,3,87,cent,c5-3,,,,,
9/22/2025,3,88,cent,c5-4,,,,,
9/22/2025,3,89,dican,di5-1,,,,,
9/22/2025,3,90,dican,di5-2,,,,,
9/22/2025,3,91,dican,di5-3,,,,,
9/22/2025,3,92,dican,di5-4,,,,,
9/22/2025,3,93,silky,s5-1,,,,,
9/22/2025,3,94,silky,s5-2,,,,,
9/22/2025,3,95,silky,s5-3,,,,,
9/22/2025,3,96,silky,s5-4,,,,,
9/22/2025,3,97,dog,do5-1,,,,,
9/22/2025,3,98,dog,do5-2,,,,,
9/22/2025,3,99,dog,do5-3,,,,,
9/22/2025,3,100,dog,do5-4,,,,,
9/22/2025,3,101,wide,w6-1,,,,,
9/22/2025,3,102,wide,w6-2,,,,,
9/22/2025,3,103,wide,w6-3,,,,,
9/22/2025,3,104,wide,w6-4,,,,,
9/22/2025,3,105,cent,c6-1,,,,,
9/22/2025,3,106,cent,c6-2,,,,,
9/22/2025,3,107,cent,c6-3,,,,,
9/22/2025,3,108,cent,c6-4,,,,,
9/22/2025,3,109,dican,di6-1,,,,,
9/22/2025,3,110,dican,di6-2,,,,,
9/22/2025,3,111,dican,di6-3,,,,,
9/22/2025,3,112,dican,di6-4,,,,,
9/22/2025,3,113,silky,s6-1,,,,,
9/22/2025,3,114,silky,s6-2,,,,,
9/22/2025,3,115,silky,s6-3,,,,,
9/22/2025,3,116,silky,s6-4,,,,,
9/22/2025,3,117,dog,do6-1,,,,,
9/22/2025,3,118,dog,do6-2,,,,,
9/22/2025,3,119,dog,do6-3,,,,,
9/22/2025,3,120,dog,do6-4,,,,,
,,,,,,,,,
