round,mesocosm,plantsp,leaf,trt,den,height,stems,nm_leaves,1total_w,1total_h,nm_dmged,cons_area,sp,stage,body_lg,sex,vial_weight,poo_weight,Notes
2,9,grass,2,b,66,,,1,,14.6,0,,apt,,,,,,
2,9,grass,3,b,66,,,1,,19,0,,apt,,,,,,
2,9,forb ,1,b,66,17.3,,13,0.2,2.3,0,,apt,,,,,,
2,10,grass,1,u,33,,,1,1,14,0,,apt,4,,u,1.1169,1.1199,
2,10,forb ,1,u,33,16.1,,14,,,0,,apt,,,,,,
2,10,forb ,2,u,33,20.3,,14,0.2,3.3,3,0.524,apt,,,,,,53.27%
2,10,forb ,3,u,33,16.6,,14,,,0,,apt,,,,,,
2,11,grass,1,u,50,,,1,1.2,21,0,,apt,3.5,,m?,1.1237,1.1332,
2,11,grass,2,u,50,,,1,,12,0,,apt,,,,,,
2,11,forb ,1,u,50,19,,12,0.2,3.5,5,0.613,apt,,,,,,47.60%
2,11,forb ,2,u,50,17.8,,14,,,4,0.629,apt,,,,,,58.93%
2,12,grass,1,u,66,,,1,1.4,13,1,0.266,apt,4,,f?,1.1246,1.1306,1.84%
2,12,grass,2,u,66,,,1,,10,0,,apt,,,,,,
2,12,grass,3,u,66,,,1,,14.5,0,,apt,,,,,,
2,12,forb ,1,u,66,15.3,,15,0.2,3.2,4,0.894,apt,,,,,,74.30%
3,1,grass,1,b,1,,,,0.9,14.7,,,ach,,25.53,m,,,
3,2,grass,1,b,2,,,,0.9,11.2,,,ach,,23.93,m,,,
3,2,grass,2,b,2,,,,0.8,9.6,,,ach,,,,,,
3,3,grass,1,b,3,,,,0.9,11.8,,,ach,,24.18,m,,,
3,3,grass,2,b,3,,,,0.6,8.9,,,ach,,,,,,
3,3,grass,3,b,3,,,,1,12.6,,,ach,,,,,,
3,4,grass,1,u,1,,,,1.1,16.1,,,ach,,24.42,m,,,
3,5,grass,1,u,2,,,,1.1,11.5,,,ach,,25.86,m,,,
3,5,grass,2,u,2,,,,1.1,10.8,,,ach,,,,,,
3,6,grass,1,u,3,,,,1.4,17.1,,,ach,,25.5,m,,,
