strip,round,cage,b_u,plant ,perc,height ,bare,notes 
5,2,53,b,wide ,8,37,40,
5,2,53,b,cent ,0,0,,
5,2,53,b,dican ,0,0,,
5,2,53,b,bb,2,10,,
5,2,53,b,silky,18,57,,
5,2,53,b,dog ,0,0,,
5,2,53,b,other ,0,0,,
5,2,54,b,wide ,0,0,35,
5,2,54,b,cent ,35,67,,
5,2,54,b,dican ,0,0,,
5,2,54,b,bb,0,0,,
5,2,54,b,silky,0,0,,
5,2,54,b,dog ,0,0,,
5,2,54,b,other ,0,0,,
6,2,55,u,wide ,0,0,30,
6,2,55,u,cent ,12,68,,
6,2,55,u,dican ,0,0,,
6,2,55,u,bb,0,0,,
6,2,55,u,silky,4,54,,
6,2,55,u,dog ,0,0,,
6,2,55,u,other ,4,,,fab
6,2,56,u,wide ,0,0,5,
6,2,56,u,cent ,10,62,,
6,2,56,u,dican ,0,0,,
6,2,56,u,bb,1,6,,
6,2,56,u,silky,0,0,,
6,2,56,u,dog ,0,0,,
6,2,56,u,other ,1,,,fab
6,2,57,u,wide ,0,0,10,
6,2,57,u,cent ,6,71,,
6,2,57,u,dican ,0,0,,
6,2,57,u,bb,0,0,,
6,2,57,u,silky,0,0,,
6,2,57,u,dog ,1,69,,
6,2,57,u,other ,0,0,,
6,2,58,u,wide ,0,0,38,
6,2,58,u,cent ,12,87,,
6,2,58,u,dican ,0,0,,
6,2,58,u,bb,1,5,,
6,2,58,u,silky,1,48,,super eaten
6,2,58,u,dog ,0,0,,
6,2,58,u,other ,4,,,"sedge, 2% fab"
6,2,59,u,wide ,0,0,40,
6,2,59,u,cent ,35,70,,
6,2,59,u,dican ,0,0,,
6,2,59,u,bb,0,0,,
6,2,59,u,silky,2,37,,super eaten
6,2,59,u,dog ,0,0,,
6,2,59,u,other ,1,,,forb
6,2,60,u,wide ,0,0,18,
6,2,60,u,cent ,18,70,,
6,2,60,u,dican ,0,0,,
6,2,60,u,bb,2,6,,
6,2,60,u,silky,8,42,,
6,2,60,u,dog ,0,0,,
6,2,60,u,other ,1,,,fab
