num,strip ,block ,cage ,trt,sp,ind,date,type,round,length,width,sex ,color,stage ,alive,notes
65,1,2,9,ach_33,apt,2,6/25/2025,stock,1 ,12.45,2.14,u,G,,1,
66,1,2,9,ach_33,apt,3,6/25/2025,stock,1 ,8.25,1,u,G,,1,
67,1,2,9,ach_33,apt,4,6/25/2025,stock,1 ,11.95,1.75,u,G,,1,
68,1,2,9,ach_33,apt,5,6/25/2025,stock,1 ,9.01,1.31,u,G,,1,
69,1,2,9,ach_33,apt,6,6/25/2025,stock,1 ,9.98,1.17,u,G,,1,
70,1,2,9,ach_33,ach,1,6/25/2025,stock,1 ,25.6,1.29,m,B ,,1,
71,1,2,9,ach_33,ach,2,6/25/2025,stock,1 ,25,1.34,m,B ,,1,
72,1,2,9,ach_33,ach,3,6/25/2025,stock,1 ,24.6,1.72,f ,G-Tstr,,1,
73,1,2,10,ach_high,ach,1,6/25/2025,stock,1 ,24.55,1.34,f ,G,,1,
74,1,2,10,ach_high,ach,2,6/25/2025,stock,1 ,23.23,1.55,f ,G-Tstr,,1,
75,1,2,10,ach_high,ach,3,6/25/2025,stock,1 ,24.43,1.42,f ,LB,,1,
76,1,2,10,ach_high,ach,4,6/25/2025,stock,1 ,28.14,1.2,m,GB-darkstr,,1,
77,1,2,10,ach_high,ach,5,6/25/2025,stock,1 ,24.84,1.33,m,B ,,1,
78,1,2,10,ach_high,ach,6,6/25/2025,stock,1 ,25.45,1.75,f ,G ,,1,
79,1,2,10,ach_high,ach,7,6/25/2025,stock,1 ,29.91,1.33,m,B ,,1,
80,1,2,10,ach_high,ach,8,6/25/2025,stock,1 ,35.07,2,f ,B,,1,
81,1,2,10,ach_high,ach,9,6/25/2025,stock,1 ,30.9,2.08,f ,B,,1,
82,1,2,11,apt_low,apt,1,6/25/2025,stock,1 ,7.37,0.98,u,G,,1,
83,1,2,11,apt_low,apt,2,6/25/2025,stock,1 ,6.88,0.94,u,G,,1,
84,1,2,11,apt_low,apt,3,6/25/2025,stock,1 ,8.49,1.28,u,G,,1,
85,1,2,11,apt_low,apt,4,6/25/2025,stock,1 ,8.31,1.05,u,G,,1,
86,1,2,11,apt_low,apt,5,6/25/2025,stock,1 ,8.72,1.14,u,G,,1,
87,1,2,11,apt_low,apt,6,6/25/2025,stock,1 ,17.21,2.16,u,G,,1,
88,1,2,12,ach_66,apt,1,6/25/2025,stock,1 ,9.24,1.22,u,G ,,1,
89,1,2,12,ach_66,apt,2,6/25/2025,stock,1 ,6.87,0.96,u,G,,1,
90,1,2,12,ach_66,apt,3,6/25/2025,stock,1 ,5.95,1.17,u,G,,1,
91,1,2,12,ach_66,ach,1,6/25/2025,stock,1 ,31.03,1.58,f ,B ,,1,
,1,2,12,ach_66,ach,2,6/25/2025,stock,1 ,30.09,1.45,m,B ,,1,
,1,2,12,ach_66,ach,3,6/25/2025,stock,1 ,24.24,1.19,f ,B,,1,
,1,2,12,ach_66,ach,4,6/25/2025,stock,1 ,30.49,1.33,m,LB,,1,
,1,2,12,ach_66,ach,5,6/25/2025,stock,1 ,24.73,1,f ,B ,,1,
,1,2,12,ach_66,ach,6,6/25/2025,stock,1 ,31.98,1.47,m,B ,,1,
,2,3,13,ach_low,ach,1,6/25/2025,stock,1 ,23.57,1.81,f,G-Tstr,,1,
,2,3,13,ach_low,ach,2,6/25/2025,stock,1 ,18.88,1.56,f,O-B,,1,
,2,3,13,ach_low,ach,3,6/25/2025,stock,1 ,23.23,1.27,m,B,,1,
,2,3,13,ach_low,ach,4,6/25/2025,stock,1 ,22.04,0.92,m,B,,1,
,2,3,13,ach_low,ach,5,6/25/2025,stock,1 ,22.31,1.25,m,B,,1,
,2,3,13,ach_low,ach,6,6/25/2025,stock,1 ,20.76,1.55,f,B,,1,
,2,3,14,ach_66,apt,1,6/25/2025,stock,1 ,7.59,1.05,u,G,,1,
,2,3,14,ach_66,apt,2,6/25/2025,stock,1 ,10.1,1.6,u,G,,1,
,2,3,14,ach_66,apt,3,6/25/2025,stock,1 ,10.9,2.28,u,G,,1,
,2,3,14,ach_66,ach,1,6/25/2025,stock,1 ,15.91,0.87,m,B,,1,
,2,3,14,ach_66,ach,2,6/25/2025,stock,1 ,23.87,1.27,f,YG-Tstr,,1,
,2,3,14,ach_66,ach,3,6/25/2025,stock,1 ,24.04,1.78,f,G-Tstr,,1,
,2,3,14,ach_66,ach,4,6/25/2025,stock,1 ,24.19,1.6,f,B,,1,
,2,3,14,ach_66,ach,5,6/25/2025,stock,1 ,30.98,1.64,m,B,,1,
,2,3,14,ach_66,ach,6,6/25/2025,stock,1 ,31.92,1.33,m,B,,1,
,2,3,15,ach_high,ach,1,6/25/2025,stock,1 ,28.54,1.37,m,B,,1,
,2,3,15,ach_high,ach,2,6/25/2025,stock,1 ,23.57,1.24,m,B,,1,
,2,3,15,ach_high,ach,3,6/25/2025,stock,1 ,24.73,1.43,f,GB,,1,
,2,3,15,ach_high,ach,4,6/25/2025,stock,1 ,30.07,1.3,m,G,,1,
,2,3,15,ach_high,ach,5,6/25/2025,stock,1 ,24.22,1.29,f,G,,1,
,2,3,15,ach_high,ach,6,6/25/2025,stock,1 ,25.12,1.26,m,B,,1,
,2,3,15,ach_high,ach,7,6/25/2025,stock,1 ,24.07,1.55,f,B,,1,
,2,3,15,ach_high,ach,8,6/25/2025,stock,1 ,29.82,1.3,m,B,,1,
,2,3,15,ach_high,ach,9,6/25/2025,stock,1 ,25.9,1.43,f,YB,,1,
,2,3,16,ach_33,apt,1,6/25/2025,stock,1 ,9.42,1.54,u,G ,,1,
,2,3,16,ach_33,apt,2,6/25/2025,stock,1 ,15.73,2.24,u,G,,1,
,2,3,16,ach_33,apt,3,6/25/2025,stock,1 ,18.86,2.9,f ,G,,1,
,2,3,16,ach_33,apt,4,6/25/2025,stock,1 ,7.44,1.13,u,G,,1,
,2,3,16,ach_33,apt,5,6/25/2025,stock,1 ,7.87,1.29,u,G,,1,
,2,3,16,ach_33,apt,6,6/25/2025,stock,1 ,9.47,1.36,u,G ,,1,
,2,3,16,ach_33,ach,1,6/25/2025,stock,1 ,18.19,1.22,f ,G,,1,
,2,3,16,ach_33,ach,2,6/25/2025,stock,1 ,23.91,1.2,f ,G,,1,
,2,3,16,ach_33,ach,3,6/25/2025,stock,1 ,23.46,1.18,m,B,,1,
,2,3,17,apt_high,apt,1,6/25/2025,stock,1 ,13.79,2.2,u,G,,1,
,2,3,17,apt_high,apt,2,6/25/2025,stock,1 ,9.01,1.18,u,LG-Yellowish,,1,
,2,3,17,apt_high,apt,3,6/25/2025,stock,1 ,16.26,2.47,u,G,,1,
,2,3,17,apt_high,apt,4,6/25/2025,stock,1 ,15.89,2.14,u,G,,1,
,2,3,17,apt_high,apt,5,6/25/2025,stock,1 ,10.09,1.56,u,G,,1,
,2,3,17,apt_high,apt,6,6/25/2025,stock,1 ,10.78,1.75,u,G,,1,
,2,3,17,apt_high,apt,7,6/25/2025,stock,1 ,15.95,2.44,f,G,,1,
,2,3,17,apt_high,apt,8,6/25/2025,stock,1 ,10.83,1.91,u,G,,1,
,2,3,17,apt_high,apt,9,6/25/2025,stock,1 ,19.54,2.64,f,G,,1,
,2,3,18,apt_low,apt,1,6/25/2025,stock,1 ,11.3,1.54,u,G,,1,
,2,3,18,apt_low,apt,2,6/25/2025,stock,1 ,20.33,2.84,f,G,,1,
,2,3,18,apt_low,apt,3,6/25/2025,stock,1 ,16.68,2.13,u,G,,1,
,2,3,18,apt_low,apt,4,6/25/2025,stock,1 ,15.52,2.44,f,G,,1,
,2,3,18,apt_low,apt,5,6/25/2025,stock,1 ,9.3,2.29,u,G,,1,
,2,3,18,apt_low,apt,6,6/25/2025,stock,1 ,7.81,1.03,u,G,,1,
,2,4,19,ach_low,ach,1,6/20/2025,stock,1 ,24.2,1.7,f,B,,1,
,2,4,19,ach_low,ach,2,6/20/2025,stock,1 ,18.87,1.32,m,B,,1,
,2,4,19,ach_low,ach,3,6/20/2025,stock,1 ,20.34,1.75,f,B,,1,
,2,4,19,ach_low,ach,4,6/20/2025,stock,1 ,18.57,1.39,f,B,,1,
